county_id,state,county,year,days_with_aqi,good_days,moderate_days,unhealthy_sensitive_days,unhealthy_days,very_unhealthy_days,hazardous_days,unhealthy_or_worse_days,pct_good_days,pct_unhealthy_or_worse_days,median_aqi,p90_aqi,max_aqi,days_ozone,days_pm25,days_pm10,days_co,days_no2,tracts_in_calenviroscreen,population_2019_acs,avg_ces_percentile_pop_weighted,median_ces_percentile_tract,share_tracts_ces_pctl_75plus,avg_pm25_concentration_pop_weighted,avg_pm25_percentile_pop_weighted,share_tracts_pm25_pctl_75plus,avg_ozone_percentile_pop_weighted,avg_diesel_pm_percentile_pop_weighted,avg_traffic_percentile_pop_weighted,avg_pollution_burden_percentile_pop_weighted,avg_population_characteristics_percentile_pop_weighted,avg_poverty_percent_pop_weighted,avg_unemployment_percent_pop_weighted,avg_children_under10_percent_pop_weighted,avg_elderly_65over_percent_pop_weighted,source_note
los_angeles,California,Los Angeles,2024,366,38,195,78,46,9,0,133,10.4,36.3,80,164,230,198,158,9,0,1,2343,10081570,66.5,72.5,45.3,11.65,71.3,45.8,59.8,59.3,61.1,71.3,59.3,34.9,6.2,12.0,13.3,EPA AirData annual AQI 2024 joined to CalEnviroScreen 4.0 county summary aggregated from tract records
madera,California,Madera,2024,366,163,178,25,0,0,0,25,44.5,6.8,52,96,140,215,112,39,0,0,23,155433,70.4,77.1,60.9,11.72,76.6,60.9,77.0,34.3,32.9,63.6,69.4,43.2,9.0,15.4,13.8,EPA AirData annual AQI 2024 joined to CalEnviroScreen 4.0 county summary aggregated from tract records
marin,California,Marin,2024,357,308,49,0,0,0,0,0,86.3,0.0,28,52,86,47,307,0,0,3,55,259943,14.9,9.3,0.0,8.34,19.9,0.0,8.1,28.0,61.2,23.3,16.0,17.2,3.7,10.2,21.6,EPA AirData annual AQI 2024 joined to CalEnviroScreen 4.0 county summary aggregated from tract records
mariposa,California,Mariposa,2024,366,255,105,6,0,0,0,6,69.7,1.6,45,74,133,336,30,0,0,0,6,17420,31.9,25.1,0.0,8.31,23.4,0.0,75.4,0.5,0.6,14.0,55.4,36.8,9.1,8.9,27.5,EPA AirData annual AQI 2024 joined to CalEnviroScreen 4.0 county summary aggregated from tract records
mendocino,California,Mendocino,2024,366,244,122,0,0,0,0,0,66.7,0.0,43,57,83,99,265,2,0,0,20,87224,39.7,29.3,0.0,6.7,6.4,0.0,14.2,15.7,10.8,24.7,52.7,39.8,8.9,12.2,21.2,EPA AirData annual AQI 2024 joined to CalEnviroScreen 4.0 county summary aggregated from tract records
merced,California,Merced,2024,366,168,163,34,1,0,0,35,45.9,9.6,52,100,151,237,110,19,0,0,49,271382,79.6,80.4,75.5,11.66,72.2,55.1,72.4,40.0,29.5,68.2,79.7,45.7,12.1,16.1,11.0,EPA AirData annual AQI 2024 joined to CalEnviroScreen 4.0 county summary aggregated from tract records
mono,California,Mono,2024,366,341,25,0,0,0,0,0,93.2,0.0,19,45,69,0,210,156,0,0,3,14310,23.5,24.5,0.0,3.29,0.2,0.0,44.6,3.6,7.1,18.7,33.0,29.3,0.3,8.9,14.3,EPA AirData annual AQI 2024 joined to CalEnviroScreen 4.0 county summary aggregated from tract records
monterey,California,Monterey,2024,366,292,74,0,0,0,0,0,79.8,0.0,39,55,71,185,163,18,0,0,93,433410,41.3,38.4,2.2,5.46,2.0,0.0,15.0,30.6,35.9,31.3,50.3,35.6,5.2,14.6,13.2,EPA AirData annual AQI 2024 joined to CalEnviroScreen 4.0 county summary aggregated from tract records
nevada,California,Nevada,2024,365,313,50,2,0,0,0,2,85.8,0.5,36,55,132,134,231,0,0,0,20,99244,21.9,16.1,0.0,6.61,7.9,0.0,75.1,13.2,18.1,25.1,24.5,27.1,4.8,9.1,26.5,EPA AirData annual AQI 2024 joined to CalEnviroScreen 4.0 county summary aggregated from tract records
orange,California,Orange,2024,366,119,231,13,3,0,0,16,32.5,4.4,54,84,172,114,239,2,0,11,582,3168044,44.5,40.6,14.1,11.3,65.1,28.7,53.3,52.6,64.5,59.7,35.7,25.6,4.6,11.8,14.4,EPA AirData annual AQI 2024 joined to CalEnviroScreen 4.0 county summary aggregated from tract records
