state,county,tracts_in_calenviroscreen,population_2019_acs,avg_ces_percentile_pop_weighted,median_ces_percentile_tract,share_tracts_ces_pctl_75plus,avg_pm25_concentration_pop_weighted,avg_pm25_percentile_pop_weighted,share_tracts_pm25_pctl_75plus,avg_ozone_percentile_pop_weighted,avg_diesel_pm_percentile_pop_weighted,avg_traffic_percentile_pop_weighted,avg_pollution_burden_percentile_pop_weighted,avg_population_characteristics_percentile_pop_weighted,avg_poverty_percent_pop_weighted,avg_unemployment_percent_pop_weighted,avg_children_under10_percent_pop_weighted,avg_elderly_65over_percent_pop_weighted
California,San Mateo,157,767423,31.8,22.2,4.5,8.35,20.4,0.0,9.4,51.8,58.5,36.9,31.9,16.7,3.6,11.6,15.8
California,Santa Barbara,89,444829,37.4,32.2,2.2,7.66,11.2,0.0,16.0,41.1,33.0,36.3,40.5,33.2,6.0,12.5,15.0
California,Santa Clara,372,1927470,30.1,25.3,3.0,8.22,19.5,0.0,21.6,57.5,62.4,33.5,33.0,18.0,4.3,12.1,13.2
California,Santa Cruz,52,273962,29.1,19.1,3.8,6.14,3.7,0.0,15.3,39.8,40.9,33.3,29.9,29.7,5.8,10.4,15.8
California,Shasta,48,179212,31.3,30.7,0.0,8.43,25.6,6.2,47.7,30.2,23.8,17.9,46.9,35.5,5.5,12.0,20.2
California,Sierra,1,3040,33.5,33.5,0.0,6.42,4.7,0.0,69.6,0.9,1.0,29.8,36.6,31.7,5.3,9.0,29.3
California,Siskiyou,14,43468,36.8,32.4,0.0,3.41,0.3,0.0,35.5,7.9,6.4,24.7,47.8,41.3,7.3,12.0,24.7
California,Solano,96,441829,45.0,42.4,13.5,8.47,24.6,0.0,24.1,42.2,49.1,32.1,55.9,24.3,6.1,12.2,15.2
California,Sonoma,99,499772,26.9,20.2,1.0,7.22,8.6,0.0,10.0,35.3,42.2,26.8,31.2,23.4,4.3,10.6,19.0
California,Stanislaus,94,543194,69.2,70.7,43.6,11.29,61.1,13.8,70.2,49.6,32.9,66.1,64.8,37.9,9.5,14.7,12.8
California,Sutter,21,96109,59.2,56.7,23.8,9.16,38.5,0.0,50.5,45.4,30.0,56.3,56.6,38.5,8.3,14.2,15.0
California,Tehama,11,63912,50.0,51.7,0.0,6.91,7.8,0.0,57.9,21.2,15.3,31.8,61.3,44.9,8.7,12.2,19.3
California,Trinity,5,12700,25.2,19.7,0.0,3.89,0.4,0.0,35.2,0.7,0.5,10.5,42.7,40.3,10.2,9.8,26.9
California,Tulare,78,461898,77.1,78.9,59.0,13.49,93.1,92.3,88.4,37.0,20.4,73.6,71.1,50.1,9.7,17.1,11.2
California,Tuolumne,11,54045,32.9,35.4,0.0,7.52,15.3,0.0,74.0,6.5,12.2,27.4,38.9,28.0,5.3,9.4,25.6
California,Ventura,173,847263,39.1,36.2,5.2,9.01,36.5,0.0,44.2,38.6,47.8,44.2,37.1,24.5,5.1,12.1,15.1
California,Yolo,41,217352,43.4,35.7,9.8,8.71,30.6,0.0,46.2,40.7,26.1,43.4,43.8,35.7,6.5,11.4,12.1
California,Yuba,14,76360,54.2,56.6,14.3,8.26,21.6,0.0,49.7,28.8,30.0,49.1,54.9,35.2,7.2,16.1,12.3
